source_id,designation,ra,dec,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,bp_rp,pmra,pmdec,radial_velocity
230353531472787072,Gaia DR3 230353531472787072,60.385837641859744,41.10902598262332,37.40814846419683,0.024168443,1547.8096,14.149218,2.9540396,152.98648222635885,-354.19407395473377,-11.276426
6412109512611009024,Gaia DR3 6412109512611009024,329.7292725244643,-57.93467119091619,37.40697793549689,0.27523875,135.90738,12.736108,2.7749844,920.0941509611063,-89.29766651978315,-38.57178
4070661430758667008,Gaia DR3 4070661430758667008,268.4689915275467,-21.248418225901826,37.40517366844408,2.3014197,16.253086,20.084267,2.3577843,-14.596895440961156,-4.404114720684701,
6659099681505711232,Gaia DR3 6659099681505711232,291.8794956842216,-48.56620198345867,37.40380113775887,0.016632468,2248.8425,11.916967,2.2968264,126.35603194546499,-365.1794747802385,-32.281055
5875940879309752576,Gaia DR3 5875940879309752576,231.91324962600223,-60.16394800626433,37.40110233769395,1.7421303,21.468603,19.995096,,-9.40640094367842,-31.9347784529998,
5641177142279108480,Gaia DR3 5641177142279108480,131.46344540469974,-30.859243180622276,37.39909549600928,0.015827041,2362.9873,13.845677,2.9610462,-562.0172752113233,-119.80577253932289,47.923203
1312589288953960320,Gaia DR3 1312589288953960320,249.20623127905804,31.09481354575771,37.397582003040085,0.012504258,2990.7878,9.019203,1.4502487,340.89376177973736,-447.8145425030617,-10.6595745
6571107552641822464,Gaia DR3 6571107552641822464,328.5708066293732,-43.60361259101874,37.39623586274563,0.0197402,1894.4203,13.736611,2.9404354,592.4783148362161,4.602133039657945,-48.13752
3816101811413834496,Gaia DR3 3816101811413834496,164.44362317334142,4.892993308189849,37.39071960262655,0.030154325,1239.9786,14.422768,3.3027992,-32.29084277556623,175.23669518419638,16.8629
1794512004276509824,Gaia DR3 1794512004276509824,325.62358898474974,23.48544124649927,37.38914697780629,0.03365029,1111.1091,14.365159,3.1315966,4.642292161382379,-354.10023115264437,-8.03226
1841590549559106176,Gaia DR3 1841590549559106176,318.80314939304793,25.794785494618072,37.38882878508194,0.019319769,1935.2627,11.074426,2.436699,134.82011015777502,-268.44751912863063,-16.311968
5843518239925459456,Gaia DR3 5843518239925459456,195.57143877146018,-71.5489615462354,37.38863264139122,0.58396655,64.0253,3.25495,1.3763945,263.7005052923015,-23.069019770614634,
4352787799303385856,Gaia DR3 4352787799303385856,250.3471946351997,-6.563123358562956,37.38835028622891,0.3002766,124.51303,16.234825,4.507612,-308.5246039772998,-97.38640230750032,
5044744654602054528,Gaia DR3 5044744654602054528,47.34457743943399,-39.18432797515237,37.3876874968238,0.40574595,92.14555,12.464453,2.5766773,353.0779272554047,-26.55584030929623,
5400741883744783616,Gaia DR3 5400741883744783616,166.58097328757984,-35.74369347263325,37.38721930219767,0.025396682,1472.1301,11.744711,2.2757835,138.69991796724383,-50.044759477010274,22.877728
6755437378508212096,Gaia DR3 6755437378508212096,287.3597426360915,-35.161343063781594,37.38648158540851,0.016719593,2236.0881,10.567134,1.9650393,43.74490703775324,-105.72901339973583,-14.201821
466417441010173568,Gaia DR3 466417441010173568,43.98852509731438,61.52127542822864,37.38089015442936,0.05876413,636.1175,5.4685206,0.607996,145.36445638313378,31.06251651358064,29.14368
3926968661219149184,Gaia DR3 3926968661219149184,179.18110449272552,18.372125323091502,37.37908724008802,0.037967134,984.5117,15.542316,0.37391567,-336.45887665119744,6.784685213528704,
4512752207042189312,Gaia DR3 4512752207042189312,287.50367723351076,15.220712142768587,37.37884197238864,2.383889,15.679775,19.767992,2.132368,-17.53723299015,4.84229748680775,
2214722739710271488,Gaia DR3 2214722739710271488,348.2876031154765,68.56749823271618,37.377524271464544,0.11268752,331.69177,15.536649,3.6951666,-35.296628388240066,-37.43040187904005,
5400694978404706560,Gaia DR3 5400694978404706560,166.59620860363762,-35.74860041729036,37.37736163925419,0.02115735,1766.6372,9.388875,1.5048361,128.54909650738648,-47.57346447924071,
2077988676275617408,Gaia DR3 2077988676275617408,294.70198195098357,43.355349733620315,37.37611526489546,0.048383344,772.49963,16.404142,3.864769,163.4430552741362,-220.76600852217848,
4373047022600429056,Gaia DR3 4373047022600429056,262.0464620657355,-1.7331905936508398,37.37450134672875,0.39082527,95.6297,12.984693,2.960781,97.66657316418994,-142.88470927078848,5.695724
3623036949785128704,Gaia DR3 3623036949785128704,196.8353785128547,-10.329808764242184,37.371095383620975,0.03355766,1113.6382,14.085623,3.143363,-356.11793955758793,-45.2817723941015,-24.602892
5923907314622859520,Gaia DR3 5923907314622859520,255.78630690246376,-53.23757508910149,37.36962916980241,0.13467793,277.47403,5.218416,0.64127827,-22.40938645495512,-143.79304907184536,13.357774
4281877511292289152,Gaia DR3 4281877511292289152,282.5399001577114,4.127516877126442,37.36438576873192,0.024835233,1504.4911,14.383737,2.8830929,116.5887066481245,-827.658907738596,-118.03682
6437777371042569344,Gaia DR3 6437777371042569344,277.97000828534163,-64.59712285375929,37.36377847299822,0.15939535,234.40947,17.743055,4.49127,-55.23750951548428,-159.7071319959487,
6773395220888949888,Gaia DR3 6773395220888949888,292.61557586490727,-19.730547562029535,37.36134787366192,0.09492014,393.6082,16.80011,4.654501,215.9680440569259,-53.27777970405282,
5192877767404186624,Gaia DR3 5192877767404186624,111.33439405249813,-85.5188337058578,37.36009558438398,0.009500269,3932.5303,13.206334,2.5336933,-136.58269375482277,-593.2263110435835,9.970409
981900721539947136,Gaia DR3 981900721539947136,115.43765839330918,49.22219544007316,37.35872376922004,0.02187639,1707.719,9.27158,1.4606428,-58.759809393325305,2.026992729391201,7.546651
837134210263959168,Gaia DR3 837134210263959168,163.00362385734326,51.73002799435652,37.35818191691385,0.025120152,1487.1798,14.530047,3.2490816,-90.55055909979326,-26.367277061556436,2.1247368
