source_id,common_name
31082991854510720,** HEI 28B
31090890298843904,LTT 11029
31235033696866688,CNS5 811
31251045334952960,LTT 11022
31322547949728256,LP 471-52
31322547950435840,LTT 11014
31776474454016128,RBS 363
31933803400749184,TIC 52177561
32138419938064000,GJ 9106
32285720136361088,LP 471-31
32496242253308544,Gaia DR3 32496242253308544
32676184203112960,TIC 52125068
32757926020640768,LP 470-47
33317783596964608,Gaia DR3 33317783596964608
33414433246644608,Gaia DR3 33414433246644608
33439176553394048,GJ 114
33496621740574720,LP 471-7
33502913868094080,Gaia DR3 33502913868094080
33619496460295424,Gaia DR3 33619496460295424
33727794061085696,2MASS J02464352+1619068
33728382471118720,Gaia DR3 33728382471118720
33732162042339072,GJ 3181
33743122798898816,StKM 1-295
34023498264008576,Gaia DR3 34023498264008576
34033149055372032,LSPM J0303+1558
34035489812675584,LP 411-50
34312631166803712,StKM 1-326
34581324320738176,Gaia DR3 34581324320738176
34696055782797952,LP 411-40
34762198279394048,TIC 58954576
34772746719056128,LP 411-54
34923409876154752,StKM 1-317
34959010860789632,LTT 10950
35203716621599488,TIC 218355401
35227046884571776,Teegarden's Star
35238836569289984,LP 411-15
35328579914493184,Gaia DR3 35328579914493184
35395070299880576,Gaia DR3 35395070299880576
35398295820372864,LP 411-18
35442864696220032,HIP 13600
35590199254428928,LP 411-32
36110577493459968,LTT 11242
36164625361808128,AG+10 376
36216886524891008,Gaia DR3 36216886524891008
36410228769627904,Gaia DR3 36410228769627904
36429264066581760,LP 473-17
36502278510879616,LTT 11264
36540074223000576,StKM 1-402
36590651757883392,GJ 1063
36629890579758592,LP 473-98
36685828234108032,LP 473-54
36819384536253056,Gaia DR3 36819384536253056
36955414740605824,2MASS J03473155+1201110
36995924872102016,LHS 1595
37030696927741824,Gaia DR3 37030696927741824
37175179626858240,2MASS J03391673+1106025
37414254686537344,** JNN 26
37431537635219712,Wolf 1057
37463870148333312,LP 473-9
37520769874997376,LTT 11185
37550555471818880,2MASS J03371998+1211514
37622955737490688,HIP 17235
37637077589965184,UCAC4 514-005926
37919171042054784,UCAC4 517-006390
37949957367713280,Gaia DR3 37949957367713280
38017646052130176,G 6-27
38329666836450304,LP 474-28
38354680725946240,HIP 18322
38453464973610496,HD 24971
38535825266420224,LP 474-48
38535825266420352,LP 474-47
38670343642226816,[RSP2011] 91
38781428676304768,StKM 1-428
38785345686459392,Gaia DR3 38785345686459392
38929141191925760,LP 474-54
39026791568954112,HIP 19157
39107399515029504,LTT 11339
39122346001196544,TIC 243031036
39163474607448192,LP 474-749
39305036729495936,HG 7-85
39387328302768640,TIC 243012602
39496867148963840,UCAC4 520-006661
39527339939738112,TIC 388978401
39527412956401280,TIC 388978402
39612036694609152,2MUCD 10223
39696806466157568,LP 473-56
39925023848663040,HIP 17794
40010820115615360,LP 474-428 A
40010820115615488,LP 474-428 B
40091256260676736,TIC 242966141
40111081832057984,TIC 242986310
40215982113230080,LP 414-21
40470720915966208,LP 413-108
40506356262145024,Gaia DR3 40506356262145024
40522982078764160,2MASS J03551865+1644329
40903142518352896,BD+12 479B
40903142518991744,AG+13 276
41001411371871872,LHS 1568
41186507280697216,TIC 435309834
41251790785624576,LP 473-18
41321815932339968,TIC 435339246
41438879559330432,Gaia DR3 41438879559330432
41455166077096960,TIC 435298727
41542061853737088,2MASS J03383754+1449201
41641739456522752,StKM 1-394B
41641773816260736,StKM 1-394
41840029505514496,GJ 143.3
41934381346979968,StKM 1-376
41966709564899840,2MASS J03252912+1412333
42017428833731328,2MASS J03241062+1423368
42017428834393472,2MASS J03241055+1423392
42108271687608576,TIC 435258957
42108275982673664,TIC 435258956
42212248550903552,G 5-38
42248498076777728,Gaia DR3 42248498076777728
42358208721260032,EPIC 210507407
42372845969541376,LP 473-52
42375732187511552,G 6-21
42644116104343040,UCAC4 529-006394
42716408993806080,LP 413-78
42768532716776704,HIP 16538
42768532716777088,HD 21962C
42768945033709568,HD 21962B
42775954420319232,Gaia DR3 42775954420319232
42793752764180736,G 7-1
42830620763418752,UCAC4 526-006935
42871199614383616,** SLN 61B
42871268333859584,** SLN 61A
42947680095257344,LP 473-26
42995684946443648,G 7-2
43188236920214912,UCAC4 531-006925
43317841853753600,LHS 1586
43335537119385216,GJ 9122 B
43335880716390784,GJ 9122 A
43499295630701824,HD 24496B
43499295632961152,GJ 3255
43538293935879680,HIP 18327
43574131143039104,Wolf 227
43615122310787840,HIP 18170
43615328469218176,HD 24357B
43656796377403776,G 7-5
43732323377309696,StKM 1-406a
43733079289895424,[LH98] 98
43789772861265792,HIP 17962
43802039287826432,LTT 11274
43803894713689216,StKM 1-414
44052178182130816,[RSP2011] 75
44197073198840064,LTT 11186
44228959036060032,TIC 435311774
44388010264995200,TIC 435338054
44427627043191168,LP 413-17
44442917127170304,TIC 435312274
44479407168836992,HAT 307-02085
44556579141068544,GALEX J034439.1+173908
44894472808190720,LP 413-89
44901791432527232,Wolf 219
45003736776189696,Gaia DR3 45003736776189696
45068917199431552,TIC 348662053
45142202225729024,HD 26015B
45142206521351552,HIP 19261
45159901786885632,HIP 19207
45181651500848512,Gaia DR3 45181651500848512
45198178534988672,TIC 456890085
45293526808851200,LP 414-114
45365815403062528,TIC 348661774
45367056650753280,LP 15-582
45404199528067200,LP 414-918
45478347841942912,LTT 11348
45506454107945344,TIC 456890524
45521022637022976,TIC 389045816
45567511362945152,LP 16-558
45679386670867584,LP 414-117
45769546624484736,LP 414-1895
45770783575075968,HG 7-139
45788547559850496,LP 16-577
45789269114357632,LP 414-2008
45842561068797696,LP 414-129
45845378567048320,TIC 434258949
45968901826385024,HD 285478
45980377978968064,LP 414-101
46014084882651648,Wolf 228
46106581298385280,HG 8-35
46229825383606144,LP 414-42
46241889948750208,TIC 242993607
46269171580976128,EPIC 210564155
46456122917536128,TIC 59041730
46458115782368384,LP 414-25
46498282316394240,LP 414-526
46498282316394496,HG 7-64B
46573805021304704,LP 414-419
46644860960782336,Gaia DR3 46644860960782336
46896958359881728,LP 414-107
46975436002187136,LP 18-594
46994986693280512,LP 414-89
46994986693280640,LP 414-90
47019347749289216,LP 17-679
47055528553760768,LP 414-64
47068207297219584,LP 414-54
47109438983082496,LP 414-794
47247938791363200,LP 414-1100
47279347886774400,** LDS 5503A
47279347888305664,** LDS 5503B
47319858019739264,HIP 20086
47319961098840192,TIC 435883879
47322297561027712,TIC 435907217
47322641158530560,HD 285665
47345009348203392,HIP 20146
47345490384536576,TIC 435907559
47485609397541632,LP 415-27
47541100375011968,LP 18-629
47620265212420096,HIP 20056
47715063730746880,LP 414-158
47729215646206080,LP 414-162
47751828650825856,LP 415-545
47752481485851136,LP 18-624
47760521664503296,LP 415-543
47762235355241856,LP 415-6
47803952373768960,LP 414-152
47804394753757056,LP 414-151
47813504381625088,LP 18-614
47881811540636800,LP 415-730
47912529146793472,EPIC 210734946
47917816253918720,LP 415-794
47948469433052800,LP 415-37
47959705067457152,LP 415-51
47965443143743488,HIP 20614
47982794811614080,LP 415-50
48000730596272128,HD 285765
48026706558487040,Ain
48048902948906368,LP 415-108
48061409893621248,LP 19-727
48149164665132672,GJ 3275
48190739948429184,LP 415-20
48197783694869760,HIP 20482
48203487411427456,LP 18-623
48225477643858176,Gaia DR3 48225477643858176
48322200307502592,Gaia DR3 48322200307502592
48455894049191424,LP 414-1760
48482454126911360,TIC 16051076
48509186003340416,LP 414-1493
48522895539002624,LP 414-120
48548527903788288,HD 284281
48604259399852800,HD 284352
48664801258770432,LP 414-139
48762211116765824,LHS 6071
48829075167625472,LHS 1636
48928271732299904,TIC 15934217
48928336156268800,LP 414-108
48977371798954368,LP 414-161
49005581144118784,HIP 20130
49013071567066368,2MASS J04200442+1951590
49102063289298944,HIP 20084
49124190961270656,TIC 17294045
49131681384221184,LP 415-19
49131681384221952,TIC 17294130
49157794785448192,LP 415-30
49206035857919232,LP 414-164
49231668222673920,HIP 20349
49295199378608000,HD 284336
49295199378633984,HD 284336B
49298394834276608,Omega Tauri
49324572659092992,TIC 17100156
49335915668441088,LP 414-127
49341619383660288,LP 414-138 A
49341619384983936,LP 414-138 B
49365087086285184,HIP 19870
49407521363733632,TIC 17198188
49448512531551616,LP 414-167
49498574670270208,LTT 11393
49510566218944768,51 Tauri
49518606397688704,TIC 17228229
49520255665123328,LP 358-685
49729231594420096,LP 17-666
49761186151049728,LHS 1614
49968306654050944,HG 7-44
50098014666283520,LP 414-5
50135226263009280,GJ 157.2
50248991357476736,LP 414-51
50298125783225088,LP 414-1021
50300290446718336,UCAC4 548-008535
50317023639234048,UCAC4 547-008394
50327297200978176,LP 414-39
50327361624037120,HD 285348B
50427387118457984,LP 414-30
50490226782799616,StKM 1-437
50667699128858624,LP 413-53
50756411675761920,HG 7-18
50756415973201152,TIC 440688990
51013701693137920,TIC 440689264
51301876819771264,Gaia DR3 51301876819771264
51383893515451392,LP 414-479
51415160877423488,2MASS J04010293+2042090
51488965592839296,TIC 14227345
51497418090942720,TIC 14178012
51505423909913472,Gaia DR3 51505423909913472
51534045572176896,TIC 440704985
51730755074345088,LP 357-206
51850945438240384,TIC 15858408
51902691204229888,TIC 15821111
51995909173956352,LP 414-1570
52002712402138240,LP 414-87
52061020877271552,TIC 15904051
52123624323443328,LP 414-202
52129912155584512,NLTT 12510
52171349999941632,LP 414-822
52214815067850496,2MASS J04071937+2048511
52548241968465408,HIP 19934
52627853482094080,HG 8-11
52640154268714496,TIC 15934994
52798209065854848,LP 357-309
52813464789648256,HIP 19789
52898264623866496,TIC 16037032
53021581725641600,AP J04003501+2137466
53022195903806976,Gaia DR3 53022195903806976
53112944270520832,39 Tauri
53164002842376832,37 Tauri
53228083753068416,LP 357-99
53257461329357312,HG 8-59
53278867446391040,LP 357-85
53692760557337344,TIC 15902113
53715888957724928,TIC 15856726
53725750200743040,LP 357-168 B
53725750202606208,LP 357-168 A
53728945658385152,EPIC 211029843
53748427629899776,TIC 402237223
53758598112448896,UCAC4 570-009971
53825771402706304,LP 357-160
53942250914697472,HD 284155
54099481075631360,** CLZ 21B
54099717298121728,** SKF 1393A
54099721593798784,** SKF 1393B
54253618862057728,LP 412-41
54749017571996032,AG+16 301
54934560157144192,TIC 435258298
54955450878005888,** JNN 256A
54969190477485312,Gaia DR3 54969190477485312
55080829564996992,G 6-14
55086705080199424,UCAC4 538-006508
55086705080546688,UCAC4 538-006510
55180159271384448,2MASS J03175345+1557286
55247298199862912,GALEX J031522.8+161432
55449299101679872,G 79-27
55453151688236800,Gaia DR3 55453151688236800
55654980791361152,TIC 333704067
55729541423485824,Gaia DR3 55729541423485824
55802693306643712,G 5-29
55839698744164352,HIP 15724
55886977746036096,TIC 25958174
56048945255703680,LSPM J0321+1757S
56055649700514688,LP 412-30
56092345901034880,HIP 15381
56141205448975872,HIP 15412
56210886998985600,HAT 259-02471
56237137839020032,TIC 25840160
56252256123908096,LP 412-31
56413781254648960,Gaia DR3 56413781254648960
56413781254974080,LTT 11169
56447037184877824,GJ 3240
56447041481918720,GJ 3239
56805855932354816,TIC 26080979
56858946024989952,Wolf 209
56861660442751872,HD 22694B
56861694804053120,Wolf 208
57083830512424448,LP 413-28
57355680465856512,** KPP 3535A
57355684762312448,** KPP 3535B
57406365376348928,LP 413-24
57577854831218688,TIC 26056160
57660902318744960,LP 412-49
57680109412530944,2MASS J03315287+1949061
57739208163471744,GJ 3225
57744155965790720,CNS5 880
57749344286258816,UCAC4 548-006749
57833147687987200,LHS 1544
57866609775353728,TIC 456938729
57890528450770560,GJ 3231
57890562810508160,GJ 3230
58061261990141696,Gaia DR3 58061261990141696
58164306845332864,LP 413-21
58245258388824960,G 5-48
58245258388825600,LP 413-15
58263984446156544,LP 356-409
58324212771048832,LTT 11155
