source_id,designation,ra,dec,parallax,phot_g_mean_mag,bp_rp,pmra,pmdec,radial_velocity
4059053577203173760,Gaia DR3 4059053577203173760,261.23148117561357,-30.027693972717056,17.12528139516724,19.578417,2.6976547,-9.103363462685923,4.830193922565542,--
4059073849471393536,Gaia DR3 4059073849471393536,261.33842080587357,-29.87296919097192,26.354812484567674,18.394356,4.070465,95.11277934610467,32.314759208460806,--
4059119307437987200,Gaia DR3 4059119307437987200,260.9492703448364,-29.809787757374885,21.199828731983015,19.278553,2.233242,9.639031464921793,13.093453412834615,--
4059138647622034048,Gaia DR3 4059138647622034048,260.5544618341222,-29.67390669344003,17.3305967440755,19.474384,2.3897934,-6.769406519521176,2.6643880151265926,--
4059322579593349632,Gaia DR3 4059322579593349632,260.06131743628606,-29.51498915471579,30.475597089576276,20.255188,1.6397896,0.020929706343314702,-1.7095726552134147,--
4059350479811043584,Gaia DR3 4059350479811043584,260.2210633853337,-29.28515236424799,18.472017584079424,20.523228,2.1732006,-2.5364466617117953,10.18235555061326,--
4059352159035524992,Gaia DR3 4059352159035524992,260.2780370489854,-29.236133155085934,23.841476383520707,20.366209,--,-15.357555504253334,7.108035052886217,--
4059428270225403904,Gaia DR3 4059428270225403904,260.1110661277232,-28.839656307921047,18.66551936176188,20.209093,2.2460175,1.1606848967138361,-3.33124530467295,--
4059534334426486272,Gaia DR3 4059534334426486272,261.1699318604033,-29.108271963147295,16.71574465764125,20.51388,--,-4.109789759008531,-12.084957454911404,--
4059544165587935744,Gaia DR3 4059544165587935744,261.48744038205183,-29.07539063508614,22.065907435254456,20.355104,--,-14.33484813340863,2.294576207363122,--
4059550865818607488,Gaia DR3 4059550865818607488,261.65217462740645,-29.049980215648034,41.21520206234794,20.081358,--,5.4433657647219995,-8.378334384811593,--
4059565296844539648,Gaia DR3 4059565296844539648,261.5394420701542,-28.902856589053727,19.767591311493366,19.974537,2.3439293,-1.6588193590720128,-1.5197998071224532,--
4059647382352395520,Gaia DR3 4059647382352395520,261.9848326701583,-28.75811504630737,30.132775437329858,20.116734,3.0992641,-4.285443281985108,3.7290127395160306,--
4059681707654304512,Gaia DR3 4059681707654304512,262.3092042978919,-28.48931878997066,17.281085686191055,20.0463,2.4668903,-32.2197522650044,-14.262241405366234,--
4059915353922093056,Gaia DR3 4059915353922093056,261.74009260146727,-27.865887063244653,25.266493953932592,20.35365,--,-11.414741460785788,3.2893738563119483,--
4059922569359508224,Gaia DR3 4059922569359508224,261.8986757728778,-27.765614962160278,20.9995978640541,20.270733,2.3571491,-10.762939520570136,-0.3343826077205831,--
4059925386875225216,Gaia DR3 4059925386875225216,261.26811542447956,-28.21587776059736,26.880689552457746,20.369673,2.0419636,-6.508463174177301,-1.8013890480224064,--
4059940092850210304,Gaia DR3 4059940092850210304,261.38022440963977,-27.945113795771995,17.166950519400103,20.39683,1.2595234,-8.505684609112418,1.5735755972616463,--
4059949679264905856,Gaia DR3 4059949679264905856,261.0975892634394,-27.854019278958255,17.967226674284277,19.820755,--,-9.815894700808553,2.5901818276151927,--
4060247681214913024,Gaia DR3 4060247681214913024,264.9698467825973,-28.431116434318657,16.955167613532936,20.61414,--,-4.053769455731456,7.36053219326256,--
4060249227392292736,Gaia DR3 4060249227392292736,265.0769744438996,-28.3753262959527,20.07143656282138,19.549654,3.4968433,2.598483668007621,0.5100722832871619,--
4060455317100066432,Gaia DR3 4060455317100066432,264.8638486910741,-28.13179822840488,16.956473686960422,20.172302,2.8294773,-2.7635670407663357,1.1095573748336898,--
4060533588613353856,Gaia DR3 4060533588613353856,264.5426894895964,-27.66560862279651,16.786017829988133,19.985704,2.523922,-7.451603609504781,1.654828394424103,--
4060630925403813632,Gaia DR3 4060630925403813632,265.48927861129505,-28.16209181692265,21.298665534988487,20.173065,3.7672691,1.6640623282326468,1.9364964237885924,--
4060868905341305344,Gaia DR3 4060868905341305344,265.1863348036733,-27.464374427225867,17.381440009090706,--,--,-17.55692779416347,-2.8501607487874154,--
4060897595656665728,Gaia DR3 4060897595656665728,265.18936606172605,-27.260405925693377,24.92675884861634,19.991577,3.9694157,-9.875459166992353,6.889217486937492,--
4060902165556824960,Gaia DR3 4060902165556824960,265.3935224330867,-27.2285771004731,16.648854294169865,20.39749,--,-14.31720077449797,-6.762439341153353,--
4060961607929698048,Gaia DR3 4060961607929698048,265.19562778724963,-26.886145431539955,16.90928274864602,20.423592,3.0184002,-10.427783414663349,4.043730502749014,--
4060965559262849920,Gaia DR3 4060965559262849920,265.05821938270753,-26.94271831357388,25.888886582827624,20.289103,2.824337,-16.769031447418318,4.196400912483332,--
4060968544186964992,Gaia DR3 4060968544186964992,264.7719657268911,-26.941469084270757,18.72411381945767,13.649066,2.5628176,-8.707278173044092,-74.96927181112298,-31.961811
4061138835355810432,Gaia DR3 4061138835355810432,262.7670159988602,-28.422716369718763,16.366698187723895,19.847546,2.4872265,-4.540783232530601,-5.009106242085974,--
4061247412233797120,Gaia DR3 4061247412233797120,262.8367123973392,-27.656195417905245,19.852625336533436,10.990652,1.6292877,-79.62873954155482,-184.7814399101469,-33.582855
4061686632663996288,Gaia DR3 4061686632663996288,264.45452513847465,-27.120322633784813,18.900460784170747,20.169956,2.398655,-12.302608920596613,-3.3605455749282087,--
4061828022993887744,Gaia DR3 4061828022993887744,265.1023817281545,-26.46603799792395,17.598929220444408,20.427479,2.0530815,-4.880725835965324,4.717803326112098,--
4061832799057370240,Gaia DR3 4061832799057370240,265.04706727245673,-26.34225021445145,19.20241437429088,20.240856,--,-9.897869987125977,5.82803876193443,--
